NEWID;AGE_REF;AGE2;BATHRMQ;BEDROOMQ;BLS_URBN;FAM_SIZE;INC_RANK;RENTEQVX;VEHQ
3649964;58;;1;1;1;1;0.4252981;;1
3650014;32;34;1;3;1;4;0.4256369;1000;2
3650024;24;;1;3;1;2;0.5435961;;2
3650034;36;;1;1;1;1;0.3120515;;0
3650054;61;;1;1;1;1;0.4125757;;1
3650114;44;41;1;2;1;3;0.6571682;;1
3650134;62;61;2;3;1;3;0.9201966;3200;3
3650144;34;41;2;4;1;4;0.7579448;2000;3
3650154;55;;1;2;2;1;0.2553691;400;2
3650184;35;41;2;3;1;5;0.9150351;2300;1
3650194;70;82;3;4;1;3;0.8773429;2500;2
3650214;30;36;2;5;1;5;0.8218355;;1
3650244;65;62;2;4;1;3;0.9178373;1000;4
3650264;64;;2;2;1;1;0.8048169;2000;1
3650314;88;88;1;3;1;2;0.3715158;;0
3650354;26;;1;1;1;1;0.555105;;0
3650364;78;;2;5;1;3;0.0443193;1900;1
3650374;31;;2;2;1;4;0.2646775;;0
3650384;60;59;1;3;2;2;0.7285723;800;2
3650394;31;;2;3;1;1;0.7265396;;0
3650414;73;;2;3;1;1;0.4688496;800;3
3650464;57;58;3;3;1;2;0.9357489;750;3
3650514;52;56;7;5;1;3;0.9734958;6442;1
3650524;67;;1;1;1;1;0.3893251;;1
3650534;45;46;2;6;1;7;0.0357404;1527;4
3650544;31;36;3;4;1;4;0.7173026;3000;0
3650554;60;;1;3;1;3;0.4463745;800;1
3650564;64;68;2;3;1;2;0.641484;1700;3
3650604;33;32;2;3;1;3;0.7238852;1500;5
3650614;45;45;2;3;1;4;0.952846;;5
3650644;68;;3;3;1;1;0.741358;2000;2
3650684;66;;1;1;1;1;0.2802255;;0
3650724;64;;1;1;1;1;0.1892183;;0
3650744;36;37;3;4;1;4;0.8910107;2000;2
3650754;61;58;3;3;1;2;0.1276964;900;2
3650784;33;;1;1;1;1;0.485668;;0
3650794;66;;1;3;2;2;0.3295274;300;1
3650834;38;;2;2;1;1;0.552805;;1
3650844;39;;2;3;1;1;0.6601446;;1
3650854;32;;2;3;1;1;0.7183429;1000;1
3650914;32;32;4;5;1;4;0.9004552;3133;2
3650934;36;;2;4;1;4;0.0693227;1200;1
3650944;72;62;1;3;2;2;0.7815728;1500;4
3650954;60;;1;3;1;1;0.4768099;600;1
3651004;67;69;2;3;1;2;0.6627709;1500;3
3651034;69;70;2;3;2;2;0.5453339;1300;4
3651044;78;;1;1;1;1;0.4241802;310;1
3651084;74;;2;4;2;1;0.3060265;1500;1
3651134;67;;2;3;1;2;0.4404804;;1
3651154;65;;2;3;2;1;0.3774917;652;1
3651194;79;;3;3;1;1;0.4892066;4000;1
3651204;33;37;3;4;1;4;0.4698966;;3
3651224;75;76;2;4;1;2;0.2344069;2500;2
3651284;72;;1;1;1;1;0.4803218;;1
3651294;28;28;2;3;1;2;0.8699948;;2
3651304;82;;1;1;1;1;0.476506;;1
3651324;29;;2;3;1;5;0.5375309;;1
3651334;59;;1;3;1;1;0.2052978;;0
3651344;49;29;2;3;1;6;0.2526309;800;3
3651374;88;88;1;2;1;2;0.3883609;550;3
3651424;50;;4;5;1;4;0.8752483;2500;9
3651464;33;;1;4;1;4;0.7739863;;2
3651474;53;49;1;2;1;2;0.7885816;1400;2
